index,status,in_inclination_deg,in_heading_deg,in_rocket_mass_kg,in_impulse_scale,in_burn_time_scale,in_drag_scale,in_drogue_cds_scale,in_main_cds_scale,in_drogue_lag_s,in_main_lag_s,in_wind_speed_ref_ms,in_wind_from_deg,in_wind_shear_exponent,apogee_agl_m,apogee_time_s,max_speed_ms,max_mach,rail_exit_speed_ms,static_margin_liftoff_cal,main_deploy_speed_ms,impact_x_m,impact_y_m,impact_speed_ms,flight_time_s,wall_time_s,error
0,ok,84.3106235622226,1.5884117761579601,14.38958662342714,1.0595964248096792,1.0048335260693009,1.178475334462555,1.0563433695338884,0.9641682728019234,1.5066441511649642,1.4885370494238306,2.290395474251143,308.4277158399591,0.13152078031721898,3201.117467977546,24.95257512440721,292.30875003344227,0.8696831620648409,28.8048921462066,2.0582977770050923,16.089724497328934,810.8118278033712,88.48406121097665,4.9422709869291195,327.21397982290347,2.748904084999822,
1,ok,85.53104890848047,359.07732456429574,14.381111479487277,0.9851855489169492,1.011958658165226,0.9428953342321331,0.9846369250435467,0.9274919803984936,1.7917486662788784,1.523458670097665,2.077439577028139,241.7762123994439,0.14369643357115638,3168.04926988974,25.35693021043231,274.0580929768155,0.8137532649867649,27.59969167055618,2.057487862479264,16.584169337233813,785.5512784716243,1020.1873665952666,5.037807624174037,317.21887347531265,2.798659397000165,
2,ok,85.76338317498221,2.0844319271586293,14.505945316945224,0.9819973947421556,0.9900374957548548,1.0346459100471557,0.9825075583787805,1.0090739213957012,1.4811667213720598,1.440870755743325,1.4577671457637649,228.5455624716888,0.1334653265246094,3043.843890306873,24.751888362479246,270.868279157673,0.8038351708362891,27.78529296684942,2.0693470917427677,16.410272177157463,470.0645049939077,932.0288448674173,4.852831459606345,315.0501143280751,2.588342265999927,
3,ok,84.6742691925766,0.2037297301219906,14.340632313331032,0.969449427365046,1.0030901246214237,1.0078499173369364,0.9289002307924261,0.918645661785405,1.5473726607927225,1.6566589505408924,3.534632409993131,259.23995180212813,0.22810323920812575,3009.9861964049733,24.66592312858092,269.27693004186784,0.8012781996780027,27.53893180612009,2.05360985531042,19.221421944072855,2213.3289037729887,1084.8468480842469,5.03357166048611,303.6869237665267,2.8074317730001894,
4,ok,84.83093362912877,358.58057612099185,14.500763460947391,1.0167199773053721,1.031546834949784,1.1065892739188825,0.9673975214245341,1.0941897694596436,1.432331778895858,1.7230923060213386,3.6603708967515707,243.92672745979345,0.09224828735560789,3110.1023659362827,24.90928016048369,277.93494482114113,0.8258868975370115,27.684328425926594,2.0688577999574624,17.22653399469929,1116.4575997489405,1213.0200130681671,4.655536561577872,323.76524046558245,2.762098708000167,
5,ok,84.34407493433704,0.889312823769187,14.394817714617322,0.9813941292671025,1.0153857422355848,1.0320408790899305,0.959296998452259,0.9633004994928763,1.2945749423823862,1.273316299227562,2.9210598196768314,295.84631297049526,0.14144942062497115,3012.0900191055703,24.638665211509117,271.2392878334415,0.8070999476347004,27.481377612545476,2.058797329333028,17.224319839433452,1122.9120099691409,158.6476618013375,4.941547308538387,310.1735113100048,2.67642561699995,
6,ok,85.17055734319885,0.529186809928887,14.360227357828405,0.9919413490433858,0.9997044214681362,1.1005611377945392,1.0055266927909796,1.0468975895450234,1.606327770827306,1.6715169307535729,5.1848536848506885,320.67102905207463,0.09954431022040036,2968.1635094350436,24.29478185824699,274.3768201528126,0.8188407821052985,27.900470012110357,2.055489111608791,17.856528375276092,1171.4280780533538,-844.6560087127622,4.728870678593309,316.3751642315938,2.9161766330000773,
7,ok,85.48528525955015,359.73148986635476,14.451753120639234,1.0235062587741408,1.011499922347845,0.9750720058668569,1.0847526196684405,1.1764960174149297,1.0728059440118645,1.8172128583905747,7.535594383759672,272.9507161109275,0.11314181363535125,3217.0529879171067,25.36142222574729,283.26387458643575,0.8469708893774598,28.143511453728564,2.0642173039787206,19.792924598977915,3188.594343503679,412.2693742886108,4.4544385239637,345.8486093810672,2.7741502159999527,
8,ok,84.35471239244558,359.3400786946024,14.419622212267882,1.018492499634834,0.9985253595867727,1.0113879593227841,1.0494417571001966,1.0178854661105037,1.8029043298065652,1.506120260255053,0.7000474595544498,273.50949439659325,0.16958549986714508,3221.6244527455724,25.364822461527933,283.0521826396601,0.8406454578316417,28.29018312919485,2.061162458211442,15.694414812539959,364.7834025707338,718.8361653639187,4.818552899037839,331.72780616754244,3.3595011219999833,
9,ok,85.48286063508365,0.9860540467296072,14.48739444104869,1.0471721730274197,1.0010259530978738,1.0469331570416969,0.924724906920814,1.0279100101780374,1.054944661060543,1.4921401179948948,3.0039265295625466,255.2490994316123,0.14241105475960797,3308.5069265436364,25.587365496858254,289.47100974766175,0.8603892605326984,28.604489419395595,2.067594255450448,17.62034805858339,1338.4889060628047,951.7485047932596,4.798670872979812,328.0465317822674,2.7661607029999686,
10,ok,84.72616399363348,0.7135006610823372,14.422786854047457,0.9709645955207282,0.9865455786429924,1.0685138851807494,0.836162701713406,0.8902546577207119,1.3405006126480568,1.7300209050846997,3.2468047039632792,310.82549910189476,0.18196525630084198,2919.2811809412574,24.19687394361455,268.4932989747266,0.799946198921779,27.73941415731323,2.0614637799388364,18.971946380792176,1174.751987980932,-376.1482671200322,5.138497863788116,288.8401699705441,2.4691677839998647,
11,ok,84.75182745346558,0.47141876525931464,14.459985329066415,0.9918637750109933,0.9921521819602552,0.982848879777992,1.0235308581775542,0.9296428584857196,1.3010131919431012,1.7008274630869604,4.399612672068179,297.86764328136906,0.1630863257912315,3077.2217717810454,24.8759240434014,275.02686583946627,0.8203290246675553,27.95126303160301,2.064998376746237,18.26131951797154,1895.7879971812954,-347.3546544016057,5.026727252189584,314.3111800537259,3.120532653999817,
12,ok,84.71408288472944,0.32208255842946526,14.398645993922024,0.9899821662150042,0.9709148391262743,0.9923533259108407,0.968205654689222,0.8712256690995022,1.5978809177037463,2.223955800215676,3.9223615412632227,264.9434385343041,0.12499065554104102,3110.1227813649634,24.974747018703418,276.3432637634239,0.821694257167411,28.29755564301885,2.059162748927628,17.634555271650132,1505.3853652373411,806.3096212596677,5.193286394824249,306.4460288562225,2.741934712999864,
13,ok,84.21972951030371,359.7585254155392,14.485855229154653,0.9936455136367903,1.0053808987038597,1.0417833640987908,1.0780157658840954,0.9340776919840773,1.918422466666187,1.1611921747360197,1.8011167229684113,310.92059019899557,0.10325069467394132,3048.439699371571,24.744111501318166,273.89012683192635,0.8141436875813672,27.753393982821095,2.067448670112316,15.710451876977318,484.2677324573162,301.5933686190772,5.040592933659551,316.44773871025814,2.706772282999964,
14,ok,85.4098948762261,358.75632953212477,14.385491004625676,1.0056296356089298,0.9934327350173061,0.8707876847669636,0.9614105989342183,1.0220415718339935,1.434724700295262,0.9806193644422558,2.853083383261007,304.3249509743299,0.10551219416654659,3314.676045256046,25.91028351024258,282.1562591605062,0.8393185437116153,28.19054538389442,2.0579064726670575,16.93290816966032,884.3489422886772,12.09262902282904,4.79921263409406,333.41606639039475,3.206420312999853,
15,ok,84.41535724794188,358.6213537331345,14.43284999397287,1.0092267834045725,1.0280084227338395,0.8217341907460498,0.9732430960170451,0.9476888717727672,1.4323879436665563,1.5887330950330307,7.987545077223235,218.82952352134473,0.14423273106495757,3384.6626839974447,26.307703019365103,280.82696979884196,0.8378308867203017,27.71222560150554,2.0624212983979557,22.22023163245256,2270.2916820035484,3633.175434219812,4.9359697156647275,330.8196751912626,3.3461335449999297,
16,ok,84.72424534741594,0.4171782027696411,14.377927997396464,0.9980142796030625,1.0024043670219738,1.070502891027039,0.9847958011449585,1.0314135264160018,0.889150617028026,1.7884919126762981,3.8123750316206806,241.98107621356488,0.13210002797524784,3087.250963962323,24.834210142862528,276.29906478049105,0.8209229041385194,27.968819142823968,2.057183456868172,17.50634390766433,1426.9799854397695,1417.1044765043644,4.768869679903784,320.70184275204815,3.0473922690000563,
17,ok,84.3501508032746,359.5475083821881,14.438275638459478,0.9995484602760545,1.0016215943927875,0.9850718814123209,1.1289190222708458,0.9794363781892376,1.4508540592545693,1.5439422818740254,4.981531625080306,260.2938829565013,0.15491131385769252,3137.0943330680625,25.11548168526232,277.0745700011959,0.8252545379852146,27.940737787008754,2.062937147704212,18.03611042302838,2421.2487343578996,1132.722528430914,4.8891148661136254,329.26466976981,2.861916213000086,
18,ok,84.90897686468142,359.9649531772346,14.469802763956828,0.9851888284107475,1.015720135506794,0.9600694757044171,0.9110814491857633,0.9888277489499175,2.3999442197413354,1.508140403299132,8.07377546965964,309.5715778034055,0.14502414255198595,2972.566436023657,24.498969724286024,271.59701241401245,0.8170730058883178,27.475036945173375,2.065929002546694,22.786903246190278,2594.4718140969644,-1511.9680957828264,4.836010934963757,304.78609751223973,4.79968811599997,
19,ok,85.26008981163177,359.41850434992114,14.449740210059575,0.9912326186741449,0.9894384087491555,1.123345776279488,1.0224618275311614,0.9399176304503033,1.4263062066145644,1.7183487957885863,4.570855867858681,265.6970577807102,0.15254274512640303,2974.713816998508,24.327164778504905,272.91779429770145,0.8125917013711509,27.97961217970792,2.0640262193987233,18.225219855405,2049.7276075017926,724.3280822606516,4.998221034158579,308.4591790407978,5.036501027999975,
20,ok,84.98137275352056,358.6516897408822,14.461324001273752,0.9890161458986585,1.0139234586015058,0.9258967487774397,1.1382315507167715,0.9840451010606014,1.5573789876746016,2.2517292471776686,2.159975346038818,321.6332037071891,0.1307057000310764,3150.9728287421526,25.308205136707514,274.21302042939527,0.8156360946514435,27.56746198889333,2.0651253283691364,15.508899773799998,565.0033604414928,-83.45604097357855,4.90477918455912,329.41235839596834,3.360158083999977,
21,ok,84.97992729969002,0.5612870098662234,14.321315692901644,0.9923046904645809,0.9929934652404496,1.1695147344435783,0.9526145724581178,1.058768784702843,1.5451478408001411,1.4627739859641669,5.093087930656757,311.4953213637767,0.21128335511527502,2896.452901399279,23.879588632485834,274.1677341076956,0.8209225867648907,28.04905594534393,2.051753614339162,20.904694252960848,2328.129614495448,-1474.1478681737365,4.664035814126873,310.3817242671947,2.7769181040000603,
22,ok,85.12512228950754,358.58914866901813,14.48607396136878,1.0026421551925457,1.0064655456327376,0.9413392038783425,1.114229928776303,0.9613009414152014,1.4926792834201466,1.193823471007481,1.5931821319449075,257.14784028336373,0.15576348506299867,3222.9064599476483,25.534586506246917,277.9726243522364,0.8255374261292645,27.887169582788275,2.067469360139555,15.52664306633231,757.4267049976401,821.6461893126776,4.967692310955043,332.2702862838839,2.750491726999826,
23,ok,84.45284896528337,358.7933546043237,14.439634980298836,0.983782007966343,1.0184636036091894,0.9967727812077279,0.8631457785764534,1.0080465695222,1.6205374393081877,1.5056253952167444,6.124470249066293,258.7309742340623,0.0812466850693501,3048.4467340823508,24.835547952581415,271.3265099517365,0.8081723953984832,27.44857929268279,2.06306634409284,19.357019530896615,1791.8801313743122,1065.1823062857727,4.833407638979272,307.67345254897145,3.0655668469999,
