0.0100,0.705140
0.0200,0.617291
0.0300,0.574556
0.0400,0.547384
0.0500,0.527896
0.0600,0.512916
0.0700,0.500870
0.0800,0.490873
0.0900,0.482379
0.1000,0.475031
0.1100,0.468584
0.1200,0.462863
0.1300,0.457736
0.1400,0.453107
0.1500,0.448899
0.1600,0.445052
0.1700,0.441519
0.1800,0.438259
0.1900,0.435241
0.2000,0.432438
0.2100,0.429828
0.2200,0.427392
0.2300,0.425113
0.2400,0.422977
0.2500,0.420973
0.2600,0.419090
0.2700,0.417318
0.2800,0.415650
0.2900,0.414078
0.3000,0.412596
0.3100,0.411199
0.3200,0.409881
0.3300,0.408638
0.3400,0.407465
0.3500,0.406360
0.3600,0.405319
0.3700,0.404339
0.3800,0.403417
0.3900,0.402551
0.4000,0.401739
0.4100,0.400978
0.4200,0.400268
0.4300,0.399606
0.4400,0.398990
0.4500,0.398421
0.4600,0.397895
0.4700,0.397413
0.4800,0.396973
0.4900,0.396575
0.5000,0.396218
0.5100,0.395901
0.5200,0.395624
0.5300,0.395386
0.5400,0.395187
0.5500,0.395027
0.5600,0.394906
0.5700,0.394824
0.5800,0.394780
0.5900,0.394775
0.6000,0.394810
0.6100,0.394884
0.6200,0.394998
0.6300,0.395154
0.6400,0.395350
0.6500,0.395590
0.6600,0.395873
0.6700,0.396201
0.6800,0.396576
0.6900,0.397000
0.7000,0.397473
0.7100,0.397999
0.7200,0.398581
0.7300,0.399221
0.7400,0.399923
0.7500,0.400692
0.7600,0.401531
0.7700,0.402446
0.7800,0.403445
0.7900,0.404534
0.8000,0.405722
0.8100,0.406173
0.8200,0.407419
0.8300,0.409460
0.8400,0.412297
0.8500,0.415931
0.8600,0.420362
0.8700,0.425592
0.8800,0.431622
0.8900,0.438453
0.9000,0.446087
0.9100,0.454525
0.9200,0.463770
0.9300,0.473824
0.9400,0.484688
0.9500,0.496365
0.9600,0.508858
0.9700,0.522169
0.9800,0.536301
0.9900,0.551257
1.0000,0.567039
1.0100,0.583652
1.0200,0.601099
1.0300,0.619382
1.0400,0.638506
1.0500,0.658474
1.0600,0.657249
1.0700,0.656063
1.0800,0.654915
1.0900,0.653804
1.1000,0.652730
1.1100,0.651692
1.1200,0.650689
1.1300,0.649721
1.1400,0.648786
1.1500,0.647885
1.1600,0.647017
1.1700,0.646182
1.1800,0.645378
1.1900,0.644606
1.2000,0.643864
1.2100,0.643153
1.2200,0.642472
1.2300,0.641820
1.2400,0.641197
1.2500,0.640603
1.2600,0.640037
1.2700,0.639499
1.2800,0.638987
1.2900,0.638503
1.3000,0.638046
1.3100,0.637614
1.3200,0.637209
1.3300,0.636829
1.3400,0.636474
1.3500,0.636143
1.3600,0.635838
1.3700,0.635556
1.3800,0.635298
1.3900,0.635064
1.4000,0.634853
1.4100,0.634665
1.4200,0.634500
1.4300,0.634357
1.4400,0.634237
1.4500,0.634138
1.4600,0.634060
1.4700,0.634005
1.4800,0.633970
1.4900,0.633956
1.5000,0.633963
