0.0100,0.648821
0.0200,0.560953
0.0300,0.518187
0.0400,0.490973
0.0500,0.471430
0.0600,0.456383
0.0700,0.444258
0.0800,0.434169
0.0900,0.425571
0.1000,0.418108
0.1100,0.411533
0.1200,0.405671
0.1300,0.400392
0.1400,0.395598
0.1500,0.391213
0.1600,0.387177
0.1700,0.383442
0.1800,0.379969
0.1900,0.376725
0.2000,0.373685
0.2100,0.370824
0.2200,0.368126
0.2300,0.365572
0.2400,0.363150
0.2500,0.360847
0.2600,0.358652
0.2700,0.356557
0.2800,0.354553
0.2900,0.352634
0.3000,0.350792
0.3100,0.349023
0.3200,0.347320
0.3300,0.345681
0.3400,0.344100
0.3500,0.342574
0.3600,0.341099
0.3700,0.339674
0.3800,0.338294
0.3900,0.336959
0.4000,0.335664
0.4100,0.334410
0.4200,0.333193
0.4300,0.332012
0.4400,0.330866
0.4500,0.329753
0.4600,0.328673
0.4700,0.327623
0.4800,0.326604
0.4900,0.325614
0.5000,0.324653
0.5100,0.323720
0.5200,0.322814
0.5300,0.321936
0.5400,0.321085
0.5500,0.320260
0.5600,0.319461
0.5700,0.318689
0.5800,0.317944
0.5900,0.317226
0.6000,0.316534
0.6100,0.315870
0.6200,0.315234
0.6300,0.314627
0.6400,0.314049
0.6500,0.313501
0.6600,0.312985
0.6700,0.312502
0.6800,0.312054
0.6900,0.311641
0.7000,0.311267
0.7100,0.310933
0.7200,0.310642
0.7300,0.310398
0.7400,0.310203
0.7500,0.310062
0.7600,0.309980
0.7700,0.309962
0.7800,0.310015
0.7900,0.310146
0.8000,0.310365
0.8100,0.309741
0.8200,0.309711
0.8300,0.310270
0.8400,0.311411
0.8500,0.313131
0.8600,0.315423
0.8700,0.318282
0.8800,0.321702
0.8900,0.325680
0.9000,0.330208
0.9100,0.335283
0.9200,0.340898
0.9300,0.347049
0.9400,0.353730
0.9500,0.360937
0.9600,0.368664
0.9700,0.376906
0.9800,0.385657
0.9900,0.394913
1.0000,0.404669
1.0100,0.414919
1.0200,0.425658
1.0300,0.436880
1.0400,0.448582
1.0500,0.460757
1.0600,0.458040
1.0700,0.455347
1.0800,0.452678
1.0900,0.450031
1.1000,0.447406
1.1100,0.444803
1.1200,0.442221
1.1300,0.439659
1.1400,0.437118
1.1500,0.434596
1.1600,0.432093
1.1700,0.429608
1.1800,0.427142
1.1900,0.424693
1.2000,0.422262
1.2100,0.419847
1.2200,0.417449
1.2300,0.415067
1.2400,0.412701
1.2500,0.410350
1.2600,0.408014
1.2700,0.405693
1.2800,0.403386
1.2900,0.401093
1.3000,0.398813
1.3100,0.396547
1.3200,0.394294
1.3300,0.392054
1.3400,0.389826
1.3500,0.387610
1.3600,0.385406
1.3700,0.383214
1.3800,0.381033
1.3900,0.378864
1.4000,0.376705
1.4100,0.374557
1.4200,0.372420
1.4300,0.370292
1.4400,0.368175
1.4500,0.366067
1.4600,0.363969
1.4700,0.361880
1.4800,0.359801
1.4900,0.357730
1.5000,0.355669
