apogee,t_final,max_speed,x_impact,y_impact,inclination,heading
2470.611204391138,153.74870026297663,220.53878526231944,587.2026654755558,808.0024337598082,82.8668321752746,36.0082829883968
2478.569462373569,153.9389479044404,220.4891499483921,-745.1494451055648,515.0331771919201,83.54707554506663,304.6509797844728
2502.221131129057,154.11717522578368,220.3261007848773,-467.6962510863753,-239.6288097792874,86.23625314603338,242.86878402068217
2500.2127530127814,153.78874801170397,220.33881131902393,250.68543562129372,-510.5799126287243,85.93646712809534,153.85060404147762
2488.8954768573244,153.90900770233173,220.41436966485512,342.3367941291873,684.1155260692537,84.55902460271118,26.584190440373447
2495.2421291962974,154.30543244555952,220.37461694770212,542.663628748377,-379.65793627406265,85.28262883419112,124.97890461564664
2497.323245060138,154.02516239072978,220.36018744226882,-327.7816954331407,-531.9751496153461,85.54529433965898,211.63823646101403
2497.0395197539233,154.13683536878926,220.3580638701045,619.949114730009,-109.36890579869213,85.51250937282595,100.00717897080587
2498.9656754668613,154.12354941136383,220.33792488864424,590.5026110701482,52.27781078446637,85.76880671623023,84.94129191694977
2510.036548663982,154.51064890527957,220.26435660114294,-292.4021264610799,-93.5167522633214,87.74021426259333,252.26229631909356
2490.0135415915174,154.12520000843045,220.4108403104835,420.745708593632,619.3505956926947,84.67371131067064,34.19082092912464
2489.5215440399184,153.88023958429557,220.41403071152504,334.827860477123,-678.0031413981508,84.62148229520349,153.7182232991882
2489.7468732438656,153.96972532145094,220.40983407436184,-3.202202764041392,-752.330987901276,84.6483679201198,180.2438677050034
2493.3379292434424,153.90480697763041,220.3839847957495,666.4717641145377,-198.89278833032827,85.05033296202112,106.61721179176456
2498.0992417179095,153.88633276684007,220.3534606483886,496.5696407697025,355.40935122241433,85.6451105707038,54.409381427929134
2488.708658114672,153.82987379005394,220.41779868727727,238.05456392226054,-730.1130773534043,84.53805679196218,161.94160711882532
2477.7884351832095,153.96599023589036,220.49413134540924,896.3578819867654,183.6691497400524,83.48026429367444,78.42172282906917
2471.3683735000996,153.9858653209544,220.54029041973493,-689.2155185035313,-711.7110426802445,82.92541987259162,224.07939511926315
2485.699167858902,153.73347884575992,220.43963416797624,786.027655212624,201.82462165350253,84.22766146645161,75.59929553629374
2481.0292496597976,153.9740138026355,220.47337733437203,-773.6007907943024,407.64750842164324,83.77440545289343,297.7861010983422
2495.4776378053593,153.88078673979345,220.37161903215872,548.2655614003467,363.85239136633913,85.31389639959305,56.432711522567935
2471.6099408756418,153.80444808948465,220.53753584028223,-822.8576026570317,-546.3415146686164,82.94817112665527,236.41644325098525
2505.4157199512183,154.10744526306362,220.30264971829737,-75.29390292902684,444.23075748457677,86.7546686646257,350.3796693436986
2496.3457474211577,153.75374097528262,220.3667083727742,-123.31701494464149,-631.7543669507138,85.41445201195086,191.04463078105093
2490.847101264701,154.20604994102027,220.40348791952866,711.6190991204586,-182.78313347519685,84.77243983315945,104.40742428464596
2494.0472887436836,153.674963696342,220.38192851602503,-76.07961513558608,-678.9755789906446,85.13735423223123,186.39331941818395
